TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Pokédex;Fácil;Quem é esse Pokémon?;Metapod;Golbat;Scyther;Goldeen;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_scyther.png
Pokédex;Fácil;Quem é esse Pokémon?;Snorlax;Sandshrew;Graveler;Jynx;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_jynx.png
Pokédex;Fácil;Quem é esse Pokémon?;Electabuzz;Dugtrio;Kangaskhan;Slowpoke;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_electabuzz.png
Pokédex;Fácil;Quem é esse Pokémon?;Tentacool;Magmar;Golbat;Venonat;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_magmar.png
Pokédex;Fácil;Quem é esse Pokémon?;Omastar;Machoke;Pinsir;Charmeleon;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_pinsir.png
Pokédex;Fácil;Quem é esse Pokémon?;Voltorb;Rapidash;Mew;Tauros;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_tauros.png
Pokédex;Fácil;Quem é esse Pokémon?;Magikarp;Poliwhirl;Hitmonchan;Golduck;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_magikarp.png
Pokédex;Fácil;Quem é esse Pokémon?;Venomoth;Gyarados;Kangaskhan;Bellsprout;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_gyarados.png
Pokédex;Fácil;Quem é esse Pokémon?;Goldeen;Pidgeotto;Lapras;Tentacool;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_lapras.png
Pokédex;Fácil;Quem é esse Pokémon?;Venomoth;Seel;Jynx;Ditto;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_ditto.png
Pokédex;Fácil;Quem é esse Pokémon?;Eevee;Omanyte;Arbok;Zubat;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_eevee.png
Pokédex;Fácil;Quem é esse Pokémon?;Aerodactyl;Vaporeon;Tentacruel;Muk;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_vaporeon.png
Pokédex;Fácil;Quem é esse Pokémon?;Victreebel;Voltorb;Jolteon;Charizard;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_jolteon.png
Pokédex;Fácil;Quem é esse Pokémon?;Gastly;Kabutops;Clefairy;Flareon;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_flareon.png
Pokédex;Fácil;Quem é esse Pokémon?;Porygon;Mew;Caterpie;Mewtwo;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_porygon.png
Pokédex;Fácil;Quem é esse Pokémon?;Tauros;Omanyte;Machamp;Jigglypuff;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_omanyte.png
Pokédex;Fácil;Quem é esse Pokémon?;Muk;Flareon;Omastar;Vileplume;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_omastar.png
Pokédex;Fácil;Quem é esse Pokémon?;Ninetales;Jigglypuff;Weepinbell;Kabuto;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_kabuto.png
Pokédex;Fácil;Quem é esse Pokémon?;Kabutops;Butterfree;Electabuzz;Vileplume;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_kabutops.png
Pokédex;Fácil;Quem é esse Pokémon?;Dratini;Aerodactyl;Charizard;Nidoran F;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_aerodactyl.png
Pokédex;Fácil;Quem é esse Pokémon?;Slowpoke;Articuno;Snorlax;Muk;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_snorlax.png
Pokédex;Fácil;Quem é esse Pokémon?;Ditto;Mew;Jigglypuff;Articuno;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_articuno.png
Pokédex;Fácil;Quem é esse Pokémon?;Zapdos;Electrode;Rhydon;Clefable;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_zapdos.png
Pokédex;Fácil;Quem é esse Pokémon?;Machop;Moltres;Exeggcute;Jynx;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_moltres.png
Pokédex;Fácil;Quem é esse Pokémon?;Venonat;Ponyta;Dratini;Blastoise;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_dratini.png
Pokédex;Fácil;Quem é esse Pokémon?;Blastoise;Mewtwo;Mr. Mime;Dragonair;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_dragonair.png
Pokédex;Fácil;Quem é esse Pokémon?;Dragonite;Machamp;Hitmonchan;Wartortle;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_dragonite.png
Pokédex;Fácil;Quem é esse Pokémon?;Hitmonchan;Mewtwo;Snorlax;Jynx;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_mewtwo.png
Pokédex;Fácil;Quem é esse Pokémon?;Dodrio;Krabby;Mew;Doduo;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_mew.png
